Step,PotEng,Press,KinEng,Temp,Lx,Ly,Lz,Pxx,Pyy,Pzz,SPCPU,Density
10002971.0,1500.6105,5742.5988,4003.5781,253.46622,106.89119,106.89119,106.89119,5739.9431,5753.5346,5734.3187,0.0,1.6966378
10003000.0,1465.6635,5741.4954,3992.1354,252.74178,106.89119,106.89119,106.89119,5790.6305,5758.3958,5675.4601,287.12553,1.6966378
10004000.0,1452.0775,5721.7833,4016.5357,254.28656,106.89119,106.89119,106.89119,5746.5509,5744.369,5674.43,454.64835,1.6966378
10005000.0,1444.357,5721.4714,3946.1458,249.83019,106.89119,106.89119,106.89119,5740.6108,5681.4319,5742.3715,506.18166,1.6966378
10006000.0,1497.2498,5717.4705,3946.0145,249.82187,106.89119,106.89119,106.89119,5767.9459,5701.8358,5682.6299,513.63217,1.6966378
10007000.0,1425.0184,5719.4028,3968.8811,251.26955,106.89119,106.89119,106.89119,5763.1111,5724.8461,5670.251,510.63086,1.6966378
10008000.0,1445.9428,5719.2996,3926.6241,248.59427,106.89119,106.89119,106.89119,5776.5819,5765.3006,5616.0164,507.09501,1.6966378
10009000.0,1527.2195,5742.511,3911.6626,247.64705,106.89119,106.89119,106.89119,5735.9579,5782.6899,5708.8852,497.99292,1.6966378
10010000.0,1440.4243,5718.6005,3940.1258,249.44906,106.89119,106.89119,106.89119,5747.7796,5721.7516,5686.2702,513.07721,1.6966378
10011000.0,1480.6226,5718.3257,3942.374,249.59139,106.89119,106.89119,106.89119,5729.9359,5752.1268,5672.9144,515.17614,1.6966378
10012000.0,1492.699,5751.1309,3986.4614,252.38256,106.89119,106.89119,106.89119,5848.0412,5722.1528,5683.1986,515.70695,1.6966378
10013000.0,1501.3163,5741.0197,3952.2822,250.21868,106.89119,106.89119,106.89119,5744.3444,5720.9802,5757.7345,510.37361,1.6966378
10014000.0,1532.188,5751.963,3978.233,251.86162,106.89119,106.89119,106.89119,5700.7566,5810.5694,5744.563,517.97575,1.6966378
10015000.0,1467.5265,5721.6834,3984.1295,252.23493,106.89119,106.89119,106.89119,5759.6885,5734.9617,5670.4001,515.30061,1.6966378
10016000.0,1549.7086,5705.762,3961.0597,250.77438,106.89119,106.89119,106.89119,5746.5371,5699.9389,5670.8101,507.64995,1.6966378
10017000.0,1484.9622,5731.1083,3940.5426,249.47544,106.89119,106.89119,106.89119,5755.3601,5712.8168,5725.1481,503.04213,1.6966378
10018000.0,1533.4677,5740.3585,3963.6331,250.9373,106.89119,106.89119,106.89119,5794.9702,5738.0316,5688.0739,509.40655,1.6966378
10019000.0,1517.6885,5737.8465,3923.1938,248.3771,106.89119,106.89119,106.89119,5854.4346,5665.217,5693.8877,510.26081,1.6966378
10020000.0,1434.8065,5704.8482,3913.8353,247.78461,106.89119,106.89119,106.89119,5764.1684,5688.7008,5661.6754,511.64607,1.6966378
10021000.0,1490.7147,5704.9065,3985.3331,252.31113,106.89119,106.89119,106.89119,5706.2697,5727.6929,5680.757,513.76966,1.6966378
10022000.0,1425.5502,5719.7971,3931.1571,248.88125,106.89119,106.89119,106.89119,5710.764,5715.565,5733.0625,502.59226,1.6966378
10023000.0,1508.9113,5728.8501,3877.702,245.49701,106.89119,106.89119,106.89119,5720.4027,5722.9226,5743.225,498.9707,1.6966378
10024000.0,1448.7749,5720.3917,4021.2323,254.5839,106.89119,106.89119,106.89119,5692.8725,5751.7644,5716.5382,509.64356,1.6966378
10025000.0,1447.9294,5768.9603,3953.6728,250.30671,106.89119,106.89119,106.89119,5777.0279,5788.4885,5741.3644,504.40873,1.6966378
10026000.0,1472.3355,5720.1616,3946.8208,249.87292,106.89119,106.89119,106.89119,5766.7204,5732.5874,5661.1769,506.23788,1.6966378
10027000.0,1466.9145,5734.2365,3920.6167,248.21394,106.89119,106.89119,106.89119,5778.0985,5721.511,5703.1001,504.68491,1.6966378
10028000.0,1544.267,5763.5178,3952.2765,250.21831,106.89119,106.89119,106.89119,5735.5145,5796.6554,5758.3835,513.77497,1.6966378
10029000.0,1576.4852,5761.2372,3886.0662,246.02655,106.89119,106.89119,106.89119,5765.0283,5759.5132,5759.1702,511.47591,1.6966378
10030000.0,1493.0682,5729.1605,3907.4965,247.3833,106.89119,106.89119,106.89119,5759.1777,5754.0806,5674.2233,503.13171,1.6966378
10031000.0,1454.7007,5740.1704,3998.0969,253.11921,106.89119,106.89119,106.89119,5763.5631,5740.1182,5716.83,495.86847,1.6966378
10032000.0,1527.6663,5749.2664,3904.0502,247.16511,106.89119,106.89119,106.89119,5795.5843,5808.7166,5643.4983,500.17566,1.6966378
10033000.0,1482.7037,5713.4992,3938.0001,249.31448,106.89119,106.89119,106.89119,5784.1945,5666.5016,5689.8015,510.29681,1.6966378
10034000.0,1415.2858,5742.4736,3978.3544,251.86931,106.89119,106.89119,106.89119,5782.5562,5762.3,5682.5644,509.36178,1.6966378
10035000.0,1560.7046,5736.0575,3953.6353,250.30434,106.89119,106.89119,106.89119,5782.9428,5755.6389,5669.5908,516.83312,1.6966378
10036000.0,1464.685,5716.0139,3987.0374,252.41903,106.89119,106.89119,106.89119,5754.1333,5724.2169,5669.6915,507.91412,1.6966378
10037000.0,1432.4947,5722.8373,3936.1937,249.20012,106.89119,106.89119,106.89119,5786.0727,5751.2757,5631.1634,501.95778,1.6966378
10038000.0,1595.3151,5769.2106,3935.4922,249.15571,106.89119,106.89119,106.89119,5834.5579,5784.4984,5688.5756,514.07441,1.6966378
10039000.0,1474.9006,5738.5767,4039.578,255.74537,106.89119,106.89119,106.89119,5805.1103,5721.4919,5689.1279,508.97724,1.6966378
10040000.0,1536.4256,5733.451,3944.8046,249.74527,106.89119,106.89119,106.89119,5780.2898,5754.6114,5665.4517,522.70709,1.6966378
10041000.0,1523.7053,5737.3395,3984.4816,252.25722,106.89119,106.89119,106.89119,5813.1531,5745.0534,5653.8122,509.50488,1.6966378
10042000.0,1503.2621,5730.9851,3959.9117,250.7017,106.89119,106.89119,106.89119,5778.2319,5708.1693,5706.5541,494.63625,1.6966378
10043000.0,1505.2485,5721.0684,3899.2265,246.85972,106.89119,106.89119,106.89119,5804.158,5756.0219,5603.0253,511.33101,1.6966378
10044000.0,1512.3112,5732.1676,3984.1801,252.23813,106.89119,106.89119,106.89119,5767.5414,5777.5863,5651.3751,516.52684,1.6966378
10045000.0,1468.034,5720.5458,3913.5609,247.76723,106.89119,106.89119,106.89119,5749.8192,5756.484,5655.3341,513.26092,1.6966378
10046000.0,1498.1953,5731.0101,3945.4081,249.78348,106.89119,106.89119,106.89119,5814.9458,5691.217,5686.8675,493.44747,1.6966378
10047000.0,1437.8895,5720.5715,3957.8549,250.57148,106.89119,106.89119,106.89119,5773.6252,5750.2875,5637.8018,509.5261,1.6966378
10048000.0,1530.054,5785.5178,3983.7578,252.21139,106.89119,106.89119,106.89119,5833.534,5782.8682,5740.1511,510.77389,1.6966378
10049000.0,1549.4944,5761.5715,4029.3557,255.0982,106.89119,106.89119,106.89119,5745.4848,5804.9837,5734.246,518.31034,1.6966378
10050000.0,1536.4932,5745.4505,3909.7456,247.52569,106.89119,106.89119,106.89119,5798.6132,5770.5777,5667.1605,510.19269,1.6966378
10051000.0,1442.1469,5722.4862,3991.1606,252.68007,106.89119,106.89119,106.89119,5726.522,5785.1517,5655.7849,510.46456,1.6966378
10052000.0,1480.4936,5747.0733,3956.0604,250.45788,106.89119,106.89119,106.89119,5781.6098,5765.6271,5693.983,511.01171,1.6966378
10053000.0,1439.553,5701.0339,4010.7233,253.91858,106.89119,106.89119,106.89119,5703.6684,5732.5614,5666.872,498.29263,1.6966378
10054000.0,1472.8248,5746.9337,3970.2167,251.35411,106.89119,106.89119,106.89119,5736.1582,5761.3661,5743.2768,518.39147,1.6966378
10055000.0,1507.8595,5736.2156,4013.7591,254.11078,106.89119,106.89119,106.89119,5766.3664,5751.1607,5691.1197,516.59505,1.6966378
10056000.0,1503.2228,5739.1575,3994.8823,252.91569,106.89119,106.89119,106.89119,5793.1507,5693.7183,5730.6035,510.34904,1.6966378
10057000.0,1436.2204,5732.9904,3988.7454,252.52716,106.89119,106.89119,106.89119,5781.0781,5689.9945,5727.8985,511.64744,1.6966378
10058000.0,1556.7592,5768.4664,3909.1613,247.4887,106.89119,106.89119,106.89119,5826.9363,5736.0783,5742.3844,517.96969,1.6966378
10059000.0,1488.6298,5752.6968,3926.5499,248.58957,106.89119,106.89119,106.89119,5779.5328,5743.2321,5735.3254,514.26778,1.6966378
10060000.0,1516.8971,5742.9331,3962.9697,250.8953,106.89119,106.89119,106.89119,5786.0232,5753.2867,5689.4893,520.60506,1.6966378
10061000.0,1514.4,5740.1578,3989.5612,252.57881,106.89119,106.89119,106.89119,5797.535,5707.8354,5715.103,519.28535,1.6966378
10062000.0,1490.23,5735.6289,3995.059,252.92687,106.89119,106.89119,106.89119,5781.4211,5725.5265,5699.939,517.94775,1.6966378
10063000.0,1475.9964,5754.6347,3970.6459,251.38128,106.89119,106.89119,106.89119,5810.2751,5732.8324,5720.7966,519.46469,1.6966378
10064000.0,1557.906,5739.2669,3957.0296,250.51924,106.89119,106.89119,106.89119,5766.666,5709.7506,5741.3841,517.2759,1.6966378
10065000.0,1492.2517,5719.4809,3994.241,252.87509,106.89119,106.89119,106.89119,5777.2542,5724.666,5656.5224,507.65383,1.6966378
10066000.0,1580.6162,5747.3428,3970.0181,251.34154,106.89119,106.89119,106.89119,5766.7116,5753.8886,5721.4282,501.47548,1.6966378
10067000.0,1463.7057,5727.8057,3885.9507,246.01923,106.89119,106.89119,106.89119,5776.689,5703.8528,5702.8753,516.30632,1.6966378
10068000.0,1553.6109,5769.8794,3954.3498,250.34958,106.89119,106.89119,106.89119,5772.7075,5762.5139,5774.4167,515.64468,1.6966378
10069000.0,1569.303,5749.2763,3937.8773,249.30671,106.89119,106.89119,106.89119,5795.2164,5701.7679,5750.8447,513.81136,1.6966378
10070000.0,1527.9149,5729.6614,3985.628,252.3298,106.89119,106.89119,106.89119,5764.4961,5694.197,5730.2913,509.57613,1.6966378
10071000.0,1516.5033,5757.4447,4055.1154,256.72904,106.89119,106.89119,106.89119,5752.2073,5811.6676,5708.459,513.55722,1.6966378
10072000.0,1552.9707,5751.7035,4025.4278,254.84952,106.89119,106.89119,106.89119,5798.6555,5788.4766,5667.9785,507.0321,1.6966378
10073000.0,1512.3582,5739.1072,3964.1879,250.97243,106.89119,106.89119,106.89119,5779.5377,5764.7413,5673.0427,510.12716,1.6966378
10074000.0,1539.5242,5753.6631,3954.271,250.34459,106.89119,106.89119,106.89119,5734.646,5818.5061,5707.8371,510.07206,1.6966378
10075000.0,1476.8637,5741.3685,3987.0485,252.41973,106.89119,106.89119,106.89119,5789.3931,5737.0689,5697.6436,509.33278,1.6966378
10076000.0,1471.1883,5723.6977,3949.2031,250.02374,106.89119,106.89119,106.89119,5735.6029,5714.0735,5721.4167,510.036,1.6966378
10077000.0,1530.3441,5726.2205,3942.2692,249.58476,106.89119,106.89119,106.89119,5780.472,5727.6102,5670.5794,516.20565,1.6966378
10078000.0,1505.7825,5744.1108,3908.9972,247.47831,106.89119,106.89119,106.89119,5790.4228,5768.3888,5673.5209,507.03346,1.6966378
10079000.0,1494.024,5746.7704,4017.8979,254.3728,106.89119,106.89119,106.89119,5773.7502,5773.2285,5693.3326,508.26813,1.6966378
10080000.0,1504.9984,5747.3412,3913.0082,247.73224,106.89119,106.89119,106.89119,5747.3594,5721.099,5773.5653,504.22643,1.6966378
10081000.0,1495.4741,5729.835,3947.2572,249.90055,106.89119,106.89119,106.89119,5709.5658,5734.9231,5745.016,512.39959,1.6966378
10082000.0,1507.2477,5719.2499,3909.2262,247.4928,106.89119,106.89119,106.89119,5778.5573,5664.9659,5714.2266,509.0051,1.6966378
10083000.0,1469.0981,5725.7638,3965.9808,251.08594,106.89119,106.89119,106.89119,5715.2975,5750.2781,5711.7157,509.1726,1.6966378
10084000.0,1475.5401,5729.4618,3892.4056,246.42789,106.89119,106.89119,106.89119,5725.9867,5734.2053,5728.1932,510.8401,1.6966378
10085000.0,1580.4881,5747.0757,3959.1804,250.6554,106.89119,106.89119,106.89119,5730.5356,5751.1731,5759.5185,515.78289,1.6966378
10086000.0,1444.8253,5726.457,3917.9676,248.04623,106.89119,106.89119,106.89119,5744.5439,5740.2321,5694.5952,518.51066,1.6966378
10087000.0,1561.1498,5750.9091,3890.5323,246.30929,106.89119,106.89119,106.89119,5760.6863,5758.0683,5733.9728,507.29456,1.6966378
10088000.0,1518.5962,5758.1926,3859.4726,244.34291,106.89119,106.89119,106.89119,5816.0374,5713.9457,5744.5946,516.58384,1.6966378
10089000.0,1459.5145,5722.7347,3905.0849,247.23062,106.89119,106.89119,106.89119,5769.7542,5734.7411,5663.7087,510.47025,1.6966378
10090000.0,1525.0011,5725.2119,3921.4505,248.26673,106.89119,106.89119,106.89119,5746.8662,5762.403,5666.3664,502.54176,1.6966378
10091000.0,1465.3581,5738.4796,3926.4398,248.5826,106.89119,106.89119,106.89119,5792.5702,5716.3749,5706.4937,516.43203,1.6966378
10092000.0,1506.7212,5774.5411,3971.8081,251.45486,106.89119,106.89119,106.89119,5800.1163,5819.9612,5703.5459,508.45571,1.6966378
10093000.0,1516.2753,5721.4358,3912.5242,247.7016,106.89119,106.89119,106.89119,5770.9459,5734.4665,5658.8949,502.86977,1.6966378
10094000.0,1461.1708,5708.5682,3955.0906,250.39648,106.89119,106.89119,106.89119,5702.6576,5745.9462,5677.1007,501.34103,1.6966378
10095000.0,1452.8827,5726.0392,3912.6511,247.70964,106.89119,106.89119,106.89119,5799.7603,5689.9881,5688.3691,499.15105,1.6966378
10096000.0,1467.7249,5739.9708,4039.3668,255.732,106.89119,106.89119,106.89119,5804.6327,5766.9355,5648.3443,501.86386,1.6966378
10097000.0,1558.9531,5748.8848,3965.0502,251.02702,106.89119,106.89119,106.89119,5810.097,5741.3136,5695.2437,512.48346,1.6966378
10098000.0,1490.3912,5750.3512,3982.0927,252.10598,106.89119,106.89119,106.89119,5795.5551,5774.6667,5680.8317,521.20124,1.6966378
10099000.0,1516.5896,5738.0705,3881.0877,245.71136,106.89119,106.89119,106.89119,5802.1622,5753.7105,5658.3387,518.25816,1.6966378
10100000.0,1453.0765,5729.0821,3910.0483,247.54485,106.89119,106.89119,106.89119,5804.1136,5731.1529,5651.9797,515.45946,1.6966378
10101000.0,1486.6476,5727.3704,3930.0104,248.80865,106.89119,106.89119,106.89119,5810.414,5688.779,5682.9181,520.23206,1.6966378
10102000.0,1534.3436,5733.5118,3979.1558,251.92004,106.89119,106.89119,106.89119,5727.3792,5757.7131,5715.443,514.80277,1.6966378
10103000.0,1493.1238,5728.2926,3996.6757,253.02923,106.89119,106.89119,106.89119,5767.4951,5725.2522,5692.1306,513.45374,1.6966378
