Step,PotEng,Press,KinEng,Temp,Lx,Ly,Lz,Pxx,Pyy,Pzz,SPCPU,Density
502971.0,2593.6077,6017.492,3927.3366,248.63937,106.89119,106.89119,106.89119,6049.0625,6025.2196,5978.1939,0.0,1.6966378
503000.0,2634.405,6030.2027,3978.7055,251.89154,106.89119,106.89119,106.89119,6086.1347,6008.4821,5995.9913,234.82038,1.6966378
504000.0,2597.6873,6025.4314,3881.1827,245.71738,106.89119,106.89119,106.89119,6058.9769,6008.2467,6009.0706,417.9954,1.6966378
505000.0,2625.6704,6034.7464,3952.3957,250.22586,106.89119,106.89119,106.89119,6083.183,5994.0874,6026.9687,432.17724,1.6966378
506000.0,2668.1716,6006.4456,3975.1109,251.66396,106.89119,106.89119,106.89119,6072.3523,6017.1825,5929.8021,434.84233,1.6966378
507000.0,2499.9488,5965.6698,3904.6131,247.20075,106.89119,106.89119,106.89119,6024.4761,5920.9669,5951.5665,444.83447,1.6966378
508000.0,2587.0579,5983.6216,3955.64,250.43126,106.89119,106.89119,106.89119,6064.7896,5935.2092,5950.866,436.64795,1.6966378
509000.0,2647.99,6008.7444,4001.8323,253.35569,106.89119,106.89119,106.89119,6017.1582,6005.8293,6003.2457,441.30036,1.6966378
510000.0,2589.8501,5992.9562,3944.5069,249.72643,106.89119,106.89119,106.89119,6034.7851,5983.4045,5960.679,430.6107,1.6966378
511000.0,2574.0002,6013.6419,3940.0059,249.44147,106.89119,106.89119,106.89119,6044.8519,6001.1743,5994.8995,453.00077,1.6966378
512000.0,2612.5115,6004.8144,4014.9086,254.18355,106.89119,106.89119,106.89119,6027.9453,5984.7113,6001.7865,432.58561,1.6966378
513000.0,2700.5717,6005.579,3982.9175,252.1582,106.89119,106.89119,106.89119,6059.1371,5983.8652,5973.7346,427.69113,1.6966378
514000.0,2564.5153,5981.1987,3939.7303,249.42402,106.89119,106.89119,106.89119,6016.1515,5993.3404,5934.1042,433.23882,1.6966378
515000.0,2549.5921,5981.3526,3973.7794,251.57967,106.89119,106.89119,106.89119,5985.3299,6003.4932,5955.2348,432.89138,1.6966378
516000.0,2664.6446,6001.5212,3918.677,248.09113,106.89119,106.89119,106.89119,6002.8746,6021.3305,5980.3586,434.13249,1.6966378
